tanggal;nominal
2019-12-01 00.00.00;0
2019-12-02 00.00.00;0
2019-12-03 00.00.00;0
2019-12-04 00.00.00;0
2019-12-05 00.00.00;0
2019-12-06 00.00.00;0
2019-12-07 00.00.00;0
2019-12-08 00.00.00;0
2019-12-09 00.00.00;0
2019-12-10 00.00.00;0
2019-12-11 00.00.00;0
2019-12-12 00.00.00;0
2019-12-13 00.00.00;0
2019-12-14 00.00.00;0
2019-12-15 00.00.00;0
2019-12-16 00.00.00;0
2019-12-17 00.00.00;650300
2019-12-18 00.00.00;0
2019-12-19 00.00.00;0
2019-12-20 00.00.00;0
2019-12-21 00.00.00;0
2019-12-22 00.00.00;0
2019-12-23 00.00.00;1831000
2019-12-24 00.00.00;0
2019-12-25 00.00.00;0
2019-12-26 00.00.00;150000
2019-12-27 00.00.00;150000
2019-12-28 00.00.00;0
2019-12-29 00.00.00;50000
2019-12-30 00.00.00;0
2019-12-31 00.00.00;0
2020-01-01 00.00.00;105000
2020-01-02 00.00.00;0
2020-01-03 00.00.00;0
2020-01-04 00.00.00;0
2020-01-05 00.00.00;500000
2020-01-06 00.00.00;0
2020-01-07 00.00.00;0
2020-01-08 00.00.00;0
2020-01-09 00.00.00;100000
2020-01-10 00.00.00;700000
2020-01-11 00.00.00;0
2020-01-12 00.00.00;0
2020-01-13 00.00.00;0
2020-01-14 00.00.00;103200
2020-01-15 00.00.00;200100
2020-01-16 00.00.00;250000
2020-01-17 00.00.00;1000000
2020-01-18 00.00.00;0
2020-01-19 00.00.00;211000
2020-01-20 00.00.00;5000000
2020-01-21 00.00.00;0
2020-01-22 00.00.00;250000
2020-01-23 00.00.00;0
2020-01-24 00.00.00;1777500
2020-01-25 00.00.00;0
2020-01-26 00.00.00;283000
2020-01-27 00.00.00;0
2020-01-28 00.00.00;0
2020-01-29 00.00.00;0
2020-01-30 00.00.00;0
2020-01-31 00.00.00;100000
2020-02-01 00.00.00;560430
2020-02-02 00.00.00;1453500
2020-02-03 00.00.00;1400000
2020-02-04 00.00.00;0
2020-02-05 00.00.00;0
2020-02-06 00.00.00;1150000
2020-02-07 00.00.00;21000
2020-02-08 00.00.00;0
2020-02-09 00.00.00;124000
2020-02-10 00.00.00;213000
2020-02-11 00.00.00;0
2020-02-12 00.00.00;0
2020-02-13 00.00.00;0
2020-02-14 00.00.00;150000
2020-02-15 00.00.00;0
2020-02-16 00.00.00;0
2020-02-17 00.00.00;500000
2020-02-18 00.00.00;259000
2020-02-19 00.00.00;0
2020-02-20 00.00.00;560000
2020-02-21 00.00.00;1120000
2020-02-22 00.00.00;100000
2020-02-23 00.00.00;3120000
2020-02-24 00.00.00;0
2020-02-25 00.00.00;1655000
2020-02-26 00.00.00;250000
